step,lr,influence_raw,influence_lr_normalized
377,5.67000000e-05,-2.63073205e-07,-4.63973907e-03
378,5.68500000e-05,1.64332464e-07,2.89063261e-03
379,5.70000000e-05,-5.77300067e-07,-1.01280714e-02
380,5.71500000e-05,-2.31801005e-08,-4.05601059e-04
381,5.73000000e-05,-1.21549127e-07,-2.12127622e-03
382,5.74500000e-05,-2.61242119e-07,-4.54729538e-03
383,5.76000000e-05,2.43050819e-07,4.21963227e-03
384,5.77500000e-05,1.98052898e-07,3.42948740e-03
385,5.79000000e-05,-9.84642217e-08,-1.70059105e-03
386,5.80500000e-05,2.18063554e-08,3.75647810e-04
387,5.82000000e-05,3.22291568e-07,5.53765580e-03
388,5.83500000e-05,1.18744124e-07,2.03503212e-03
389,5.85000000e-05,4.51444742e-07,7.71700414e-03
390,5.86500000e-05,-4.22412704e-07,-7.20226264e-03
391,5.88000000e-05,-2.53020536e-07,-4.30307033e-03
392,5.89500000e-05,-5.32160084e-07,-9.02731270e-03
393,5.91000000e-05,-5.25451741e-07,-8.89089240e-03
394,5.92500000e-05,3.48397190e-07,5.88012135e-03
395,5.94000000e-05,5.79692124e-07,9.75912666e-03
396,5.95500000e-05,3.63796944e-07,6.10910065e-03
397,5.97000000e-05,2.59550023e-07,4.34757158e-03
398,5.98500000e-05,-3.29004168e-07,-5.49714566e-03
399,6.00000000e-05,-2.48018960e-07,-4.13364933e-03
400,6.01500000e-05,-5.61609327e-07,-9.33681341e-03
401,6.03000000e-05,-4.23833659e-07,-7.02875056e-03
402,6.04500000e-05,3.04688300e-07,5.04033582e-03
403,6.06000000e-05,3.87302244e-07,6.39112615e-03
404,6.07500000e-05,-3.70060671e-07,-6.09153367e-03
405,6.09000000e-05,-1.22317405e-08,-2.00849598e-04
406,6.10500000e-05,4.05177976e-08,6.63682188e-04
407,6.12000000e-05,7.22780200e-08,1.18101340e-03
408,6.13500000e-05,-3.30203203e-07,-5.38228530e-03
409,6.15000000e-05,-1.43064485e-07,-2.32625178e-03
410,6.16500000e-05,1.01811524e-07,1.65144402e-03
411,6.18000000e-05,-4.51973781e-07,-7.31349160e-03
412,6.19500000e-05,-1.85539715e-07,-2.99499136e-03
413,6.21000000e-05,4.84219062e-07,7.79740841e-03
414,6.22500000e-05,-1.14969714e-08,-1.84690303e-04
415,6.24000000e-05,5.42160628e-08,8.68847159e-04
416,6.25500000e-05,-5.20567133e-07,-8.32241619e-03
417,6.27000000e-05,-9.68826797e-08,-1.54517830e-03
418,6.28500000e-05,1.75509068e-07,2.79250705e-03
419,6.30000000e-05,1.43953247e-07,2.28497217e-03
420,6.31500000e-05,-1.39824037e-08,-2.21415735e-04
421,6.33000000e-05,-9.49680570e-07,-1.50028526e-02
422,6.34500000e-05,-3.81924089e-07,-6.01929218e-03
423,6.36000000e-05,-1.20484014e-07,-1.89440274e-03
424,6.37500000e-05,-1.78509843e-07,-2.80015440e-03
425,6.39000000e-05,7.54190111e-07,1.18026621e-02
426,6.40500000e-05,5.61277686e-07,8.76311765e-03
427,6.42000000e-05,7.31539469e-08,1.13946958e-03
428,6.43500000e-05,-4.75413692e-07,-7.38793617e-03
429,6.45000000e-05,2.02826036e-07,3.14458971e-03
430,6.46500000e-05,2.47320593e-07,3.82553121e-03
431,6.48000000e-05,-2.41453808e-08,-3.72613901e-04
432,6.49500000e-05,-3.30541249e-07,-5.08916473e-03
433,6.51000000e-05,-5.00470903e-07,-7.68772508e-03
434,6.52500000e-05,1.38826663e-07,2.12761169e-03
435,6.54000000e-05,3.17278767e-07,4.85135730e-03
436,6.55500000e-05,1.56010432e-07,2.38002185e-03
437,6.57000000e-05,-2.47727280e-07,-3.77058266e-03
438,6.58500000e-05,2.44485095e-07,3.71275771e-03
439,6.60000000e-05,-9.33698614e-07,-1.41469487e-02
440,6.61500000e-05,-3.05198289e-07,-4.61373075e-03
441,6.63000000e-05,2.92315605e-07,4.40898349e-03
442,6.64500000e-05,8.01934927e-08,1.20682457e-03
443,6.66000000e-05,-1.59892570e-07,-2.40078934e-03
444,6.67500000e-05,-3.91929258e-07,-5.87159938e-03
445,6.69000000e-05,-4.18471487e-07,-6.25517918e-03
446,6.70500000e-05,-1.17226501e-07,-1.74834454e-03
447,6.72000000e-05,2.24928567e-07,3.34715129e-03
448,6.73500000e-05,1.70818166e-07,2.53627566e-03
449,6.75000000e-05,-1.12807224e-07,-1.67121813e-03
450,6.76500000e-05,-1.44279223e-07,-2.13273057e-03
451,6.78000000e-05,-5.11640526e-07,-7.54632045e-03
452,6.79500000e-05,-2.97119053e-07,-4.37261299e-03
453,6.81000000e-05,5.32918486e-07,7.82552843e-03
454,6.82500000e-05,8.30222943e-07,1.21644387e-02
455,6.84000000e-05,-1.01274835e-06,-1.48062624e-02
456,6.85500000e-05,-5.23156369e-07,-7.63174864e-03
457,6.87000000e-05,-2.10979705e-07,-3.07102918e-03
458,6.88500000e-05,-2.42332841e-07,-3.51972173e-03
459,6.90000000e-05,3.80567054e-07,5.51546455e-03
